招聘主题,用人单位,发布日期,浏览次数,职位数量
2022年国防科技大学电子科学学院面向海内外诚聘博士人才,北京神州硕博信息技术有限公司,2021-12-10,852,1
揽英才! 金陵科技学院招才引智诚邀您的加盟,北京南方国际人力资源顾问有限公司,2021-12-10,818,1
厦门松霖2022届校园招聘简章,厦门松霖科技股份有限公司,2021-12-10,817,1
揽英才 金陵科技学院招才引智，诚邀您的加盟,北京神州硕博信息技术有限公司,2021-12-10,808,1
北京司拓民航科技有限责任公司2022年校园招聘简章,北京司拓民航科技有限责任公司,2021-12-10,818,1
小屯派科技2022年校园招聘,北京小屯派科技有限责任公司,2021-12-10,809,6
【甘肃国企】金川集团面向北京邮电大学秋季招聘信息,金川集团股份有限公司,2021-12-10,822,1
广东省农村信用社联合社 2022届秋季校园招聘补录公告,广东省农村信用社联合社,2021-12-10,810,1
2022校招中信证券北京分公司管培生,中信证券股份有限公司北京分公司,2021-12-10,807,1
南京理工大学智能制造学院教师招聘,南京理工大学江阴校区,2021-12-10,800,1
网易有道2022届秋季校园招聘火热进行ing,网易有道信息技术（北京）有限公司,2021-12-10,776,1
方田教育2022年校园招聘,合肥方了个田教育科技有限责任公司,2021-12-09,852,1
慧原生，聚清春 ——慧清科技2022校园招聘简章,北京慧清科技有限公司,2021-12-09,895,9
TOP TOY TMC 2022届校园招聘,那是家大潮玩(广东)科技有限公司,2021-12-09,860,1
中金创新（深圳）资产管理有限公司2021年招聘,中金创新（深圳）资产管理有限公司,2021-12-09,850,3
代宽带资本招聘投资经理,北京恒上管理咨询有限公司,2021-12-09,581,1
慧策（北京掌上先机网络科技有限公司）2022秋季校园招聘,北京掌上先机网络科技有限公司,2021-12-09,694,2
前端开发工程师,深圳开鸿数字产业发展有限公司,2021-12-09,824,15
中讯邮电咨询设计院有限公司郑州分公司,中讯邮电咨询设计院有限公司郑州分公司,2021-12-09,837,10
【校招】中信证券北京分公司管培生,中信证券股份有限公司北京分公司,2021-12-09,824,1
校招管培生,中信证券（山东）有限责任公司济南泺源大街证券营业部,2021-12-09,830,1
2022年校园招聘,中国联合网络通信有限公司肇庆市分公司,2021-12-09,857,3
北京师范大学认知神经科学与学习国家重点实验室2021年聘用制人员招聘启事,广州高才信息科技有限公司,2021-12-09,766,1
北京司拓民航科技有限责任公司 2022年校园招聘简章,北京司拓民航科技有限责任公司,2021-12-09,747,1
中国人民公安大学2022年度统一公开招录人民警察预公告,中国人民公安大学,2021-12-08,1019,
董事会秘书,四川现代教育集团,2021-12-08,931,1
厦门立林科技有限公司2022年校园招聘,厦门立林科技有限公司,2021-12-08,913,12
海军航空大学2022年面向社会公开招考文职人员,北京南方国际人力资源顾问有限公司,2021-12-08,914,1
重磅来袭！2022年海军潜艇学院人才引进公告,北京南方国际人力资源顾问有限公司,2021-12-08,915,1
山东英科医疗2022届校园招聘简章,山东英科医疗制品有限公司,2021-12-08,896,1
上商控股集团有限公司校园招聘,上商控股集团有限公司,2021-12-08,897,1
【游戏奋斗者】多益网络2022校园招聘补录！,多益网络有限公司,2021-12-08,893,1
四川省环境政策研究与规划院公开招聘非在编人员公告,四川省环境政策研究与规划院,2021-12-08,874,
广东湛江海洋医药研究院2021年招聘博士后研究人员启事,广东湛江海洋医药研究院,2021-12-08,866,
华展鑫荣公司招聘学生就业,华展鑫荣国际招标代理（北京）有限公司,2021-12-08,898,1
中联重科（工业互联网板块）2022届校园招聘简章,中科云谷科技有限公司,2021-12-07,1521,1
中信证券北京分公司管培生-校招,中信证券股份有限公司北京分公司,2021-12-07,1216,1
中科星图—星图气象2022-2023年校园招聘计划,中科星图股份有限公司,2021-12-07,834,6
软件研发工程师（高性能计算）,华控清交信息科技（北京）有限公司,2021-12-07,1150,8
让世界看到你的影响力——航天宏图·校园招聘,航天宏图信息技术股份有限公司,2021-12-07,1176,4
香港中文大学（深圳）诚聘海内外优秀人才,香港中文大学（深圳）,2021-12-06,913,
51WORLD-2022届校园招聘简章,北京五一视界数字孪生科技股份有限公司,2021-12-06,900,
物产中大国际贸易集团2022届校园招聘简章,物产中大国际贸易集团有限公司,2021-12-06,896,
年轻 未来可期 ——浙江省农信联社2022年校园招聘公告,浙江省农村信用社联合社,2021-12-06,916,10
权威发布！火箭军工程大学2022年面向社会公开招考文职人员岗位计划,北京南方国际人力资源顾问有限公司,2021-12-06,920,1
人才招聘,淮阴师范学院,2021-12-06,903,2
专利工程师/专利代理师,深圳中一专利商标事务所,2021-12-06,871,1
沈阳兴华航空电器有限责任公司,沈阳兴华航空电器有限责任公司,2021-12-06,878,1
【游戏奋斗者】多益网络2022校园招聘补录,多益网络有限公司,2021-12-06,889,4
北京市硕博高层次人才洽谈会---工业和信息化部人才交流中心,工业和信息化部人才交流中心,2021-12-06,963,1
由你定E新世界”，面向全球2022届校园人才 2022卡奥斯未来合伙人全面启动！,海尔卡奥斯物联生态科技有限公司,2021-12-06,888,1
2021年-2022年度远洋数据校园招聘,远洋云泰数据服务有限公司,2021-12-06,878,5
软件研发工程师（系统）,华控清交信息科技（北京）有限公司,2021-12-06,868,1
兴华会计师事务所2022秋季校园招聘,北京兴华会计师事务所(特殊普通合伙),2021-12-06,876,1
诚揽天下英才 聚力强军伟业-海军航空大学2022年面向社会公开招考文职人员,北京神州硕博信息技术有限公司,2021-12-06,880,1
2022中公教育业务岗位招聘,,2021-12-06,870,1
校招,北京墨云科技有限公司,2021-12-06,872,4
在浙里 职面未来-浙江建设职业技术学院2021年人才招聘公告,浙江建设职业技术学院,2021-12-06,892,1
权威发布！火箭军工程大学2022年面向社会公开招考文职人员,北京神州硕博信息技术有限公司,2021-12-06,869,1
2022年海军潜艇学院人才引进重磅来袭,北京神州硕博信息技术有限公司,2021-12-06,875,1
“权威发布”国防科技大学2022年公开招考文职人员计划,北京神州硕博信息技术有限公司,2021-12-06,885,1
权威发布！国防科技大学2022年文职人员招考公告,北京南方国际人力资源顾问有限公司,2021-12-06,877,1
湖北文理学院人才招聘,湖北文理学院,2021-12-06,863,1
厦门大学嘉庚学院2021-2022学年人才招聘启事,厦门大学嘉庚学院,2021-12-03,903,1
创新之路、智慧领航 卡斯柯信号有限公司2022年度校园招聘,卡斯柯信号有限公司北京分公司,2021-12-03,883,4
日立电梯2022“未来之梯，与你同立”校园招聘,日立电梯（中国）有限公司,2021-12-03,888,2
埃特曼（北京）半导体技术有限公司招聘,埃特曼（北京）半导体技术有限公司,2021-12-03,892,11
北京晨晶电子有限公司 【高新技术国企】北京晨晶电子2022校招盛大启动,北京晨晶电子有限公司,2021-12-03,873,1
【全职】【算法工程师】,北京时代复兴创新科技有限公司,2021-12-03,860,1
招聘新媒体编辑/美编设计/授课讲师,合肥不过如此文化传媒有限公司,2021-12-03,858,3
建攀登计划 创世界一流-首都师范大学2021-2022年博士后科研 人员招收公告,北京神州硕博信息技术有限公司,2021-12-03,855,1
浙江建设职业技术学院2021年人才引进计划,广州高才信息科技有限公司,2021-12-03,868,1
商丘工学院2021-2022学年教师招聘,北京高博中进信息技术有限公司,2021-12-03,853,1
炬光科技2022校园招聘简章,西安炬光科技股份有限公司,2021-12-02,852,1
北京爱帮智汇科技有限公司2022年度校园招聘公告,北京爱帮智汇科技有限公司,2021-12-02,863,4
网龙网络公司2022届秋季校园招聘简章,福建网龙计算机网络信息技术有限公司,2021-12-02,845,1
易航智能—供应链管理专员,北京知行易航智能科技有限公司,2021-12-02,853,1
网易有道秋招补招-火热进行ing（免笔试！）,网易有道信息技术（北京）有限公司,2021-12-02,892,1
网罗英才 智创未来 罗克韦尔自动化大连软件研发中心2022秋季校园招聘简章,罗克韦尔自动化软件（大连）有限公司,2021-12-02,840,2
诚邀海内外优秀青年人才参加河南大学第五届国际青年学者（博士后）论坛,广州高才信息科技有限公司,2021-12-02,845,1
助理研究员,北京赛宝工业技术研究院有限公司,2021-12-02,859,1
广州虹科电子科技2022秋季校园招聘（全国）,,2021-12-02,847,3
科技兴邦 强军报国-国防科技大学第六十三研究所2021-2022年文职、博士后招收,北京神州硕博信息技术有限公司,2021-12-01,857,1
巢湖学院博士人才引进公告（待遇优渥） （安徽·合肥）,,2021-12-01,820,1
中国移动总部网络事业部“金种子计划” 专项校园招聘,中国移动总部,2021-12-01,905,1
中国邮政集团有限公司山西省分公司 2022年度校园招聘公告,中国邮政集团有限公司山西省分公司,2021-12-01,831,1
西安电子科技大学期刊中心2021年外聘人员一般岗位招聘公告,西安电子科技大学,2021-12-01,785,1
浙江大学化学系、浙大杭州国际科创中心郭庆辉课题组2021年诚招博士后,广州高才信息科技有限公司,2021-12-01,802,1
2022年江苏省泰州市选聘党政青年人才简章,中共泰州市委组织部,2021-12-01,833,1
中国联合工程有限公司2022届校园招聘,中国联合工程有限公司,2021-12-01,828,1
景贤礼士 WE梦相聚 ——北京市石景山区“走进高校引才计划” 宣讲招聘公告,同道精英（天津）信息技术有限公司,2021-12-01,826,1
赓续百年初心 担当育人使命-大庆师范学院2021年下半年公开招聘教师公告,大庆师范学院,2021-12-01,798,1
2022届阿丘科技校园招聘,北京阿丘机器人科技有限公司,2021-12-01,820,4
开源证券【北交所业务专场】2022届校园招聘,开源证券股份有限公司,2021-12-01,826,1
中信证券校招管培生-北京分公司,中信证券股份有限公司北京分公司,2021-12-01,822,1
北京伏尔特技术有限公司2022校园招聘,北京伏尔特技术有限公司,2021-12-01,825,5
合肥安晶龙电子股份有限公司2022届校园招聘,合肥安晶龙电子股份有限公司,2021-12-01,801,5
"吴奇院士团队招聘博士后公告（分子生物学, 高分子，化学工程和食品专业）",深圳大学食品科学与加工研究中心,2021-12-01,794,4
朝晖股份 2022 校园招聘简章,浙江朝晖过滤技术股份有限公司,2021-12-01,787,
北京爱万提斯科技有限公司2022年校园招聘,北京爱万提斯科技有限公司,2021-12-01,795,
厦门雅迅网络股份有限公司2022届校园招聘简章,厦门雅迅网络股份有限公司,2021-12-01,787,
中国铁路物资集团有限公司 2022校园招聘简章,中国铁路物资集团有限公司,2021-12-01,831,
 中联重科2022届校园招聘简章,中联重科股份有限公司,2021-12-01,788,
 中联重科（工业互联网板块）2022届校园招聘简章,中联重科股份有限公司,2021-12-01,807,
河北省农村信用社 2021年员工招聘简章,河北省农村信用社联合社,2021-12-01,785,2
2022慧策（北京掌上先机网络科技有限公司）校园招聘,北京掌上先机网络科技有限公司,2021-12-01,792,1
和芯星通科技（北京）有限公司人才引进,和芯星通科技（北京）有限公司,2021-12-01,801,1
"吴奇院士团队招聘博士后公告（分子生物学, 高分子，化学工程和食品专业）",深圳大学食品科学与加工研究中心,2021-12-01,799,4
通讯科技公司诚招项目管理/商务助理,北京迈亚方圆通讯技术有限公司,2021-12-01,802,1
全国中小企业股份转让系统有限责任公司 2021年下半年招聘公告,全国中小企业股份转让系统有限责任公司,2021-12-01,817,
空军工程人才引进公告,中国人民解放军空军工程大学,2021-12-01,855,1
本邦科技 22届应届毕业生校招项目,北京本邦科技股份有限公司,2021-12-01,805,3
远洋集团2022届校园招聘,北京远洋嘉业房地产经纪有限公司北京分公司,2021-11-30,799,1
2022届赛尔网络有限公司校园招聘简章,赛尔网络有限公司,2021-11-30,813,1
ASM先进科技2022校园招聘补录,先进科技（中国）有限公司,2021-11-30,858,1
教师（博士）,吉林动画学院,2021-11-29,785,1
教师（硕士）,吉林动画学院,2021-11-29,790,1
东华大学民用航空复合材料协同创新中心2021年招聘启事,广州高才信息科技有限公司,2021-11-26,775,1
宁波国君源泓投资管理有限公司是在中国基金业协会备案的私募股权基金管理人，招聘网络信息安全投资经理和研究员,宁波国君源泓投资管理有限公司,2021-11-26,800,2
中国电子科技集团公司第十一研究所,华北光电技术研究所（中国电子科技集团公司第十一研究所）,2021-11-26,921,1
广芯电子技术(上海)股份有限公司校招信息,广芯电子技术（上海）股份有限公司,2021-11-26,814,4
宁波国君源泓投资管理有限公司是在中国基金业协会备案的私募股权基金管理人，网络信息安全行业研究员和投资经理招聘,宁波国君源泓投资管理有限公司,2021-11-25,804,2
2022中公教育校园招聘,,2021-11-23,790,
鼎道智联2022届校园招聘简章,鼎道智联（北京）科技有限公司,2021-11-23,802,
北京巴别时代科技有限公司-巴别时代2022校招,北京巴别时代科技有限公司,2021-11-22,807,1
锐方（上海）私募基金管理有限公司招聘,锐方（上海）私募基金管理有限公司,2021-11-22,788,1
哈药集团股份有限公司,哈药集团股份有限公司,2021-11-22,797,2
商业航天明星企业【零壹空间】空中宣讲来啦！！,重庆零壹空间科技集团有限公司,2021-11-22,781,1
天津雀巢有限公司,天津雀巢有限公司,2021-11-22,796,1
北京市联德律师事务所校招,北京市联德律师事务所,2021-11-22,737,1
西安工业大学新能源科学与技术研究院2021招聘简章,北京斯博特科技发展有限公司,2021-11-22,740,
深圳大学广东省海洋藻类开发与应用工程重点实验室博士后招聘,北京君林浩海科技咨询有限公司,2021-11-22,737,
北京大学化学与分子工程学院纳米结构功能材料课题组招聘优秀人才,北京君林浩海科技咨询有限公司,2021-11-22,733,
闽江学院2021下半年度高层次人才招聘公告,北京邮电大学就业指导中心,2021-11-22,749,
台州学院高等研究院—智能信息处理研究所招聘启事,北京邮电大学就业指导中心,2021-11-22,732,
青岛海信微联信号有限公司2022届校园招聘,青岛海信微联信号有限公司,2021-11-21,765,1
九江学院2021年高层次人才招聘公告,北京诺美斯信息技术有限公司,2021-11-21,738,1
武汉东湖学院高层次（高学历）人才招聘公告,北京诺美斯信息技术有限公司,2021-11-21,752,1
中国科学院天津工业生物技术研究所体外合成生物学中心游淳课题组招聘启事,北京诺美斯信息技术有限公司,2021-11-21,742,1
中国科学院微电子研究所低功耗智能芯片与系统团队招聘,北京邮电大学就业指导中心,2021-11-19,796,1
嘉应学院2021-2022年人才招聘启事,北京邮电大学就业指导中心,2021-11-19,781,1
重庆邮电大学2021-2022年招聘启事,北京诺美斯信息技术有限公司,2021-11-19,799,1
台州学院高等研究院——智能信息处理研究所招聘启事,北京诺美斯信息技术有限公司,2021-11-19,761,1
广东省电信规划设计院有限公司北京分院2022校园招聘,广东省电信规划设计院有限公司,2021-11-19,824,5
工业和信息化部网络安全产业发展中心（工业和信息化部信息中心）,工业和信息化部网络安全产业发展中心（工业和信息化部信息中心）,2021-11-19,925,3
宽带资本,北京恒上管理咨询有限公司,2021-11-19,782,1
2022南京理工大学江阴校区教师招聘,南京理工大学江阴校区,2021-11-19,758,1
虹科电子,,2021-11-19,765,2
北方自动控制技术研究所2021年招聘启事,广州高才信息科技有限公司,2021-11-19,773,1
超星集团2021秋季校园招聘（全国）,超星集团有限公司,2021-11-19,784,1
广芯电子技术（上海）股份有限公司,广芯电子技术（上海）股份有限公司,2021-11-19,773,3
重庆川仪控制系统有限公司上海分公司,重庆川仪控制系统有限公司上海分公司,2021-11-19,756,1
国家计算机网络应急技术处理协调中心安徽分中心2022年度公开招聘公告,广州高才信息科技有限公司,2021-11-19,736,1
中国农业银行博士后科研工作站2022年度招收博士后研究人员公告,广州高才信息科技有限公司,2021-11-19,767,1
山东省科学院海洋仪器仪表研究所齐鲁工业大学（山东省科学院）海洋技术科学学院招聘,北京君林浩海科技咨询有限公司,2021-11-18,718,1
丽水学院2021年下半年人才招聘启事,北京君林浩海科技咨询有限公司,2021-11-18,722,1
南京信息工程大学高端光电仪器及激光技术团队诚招青年教师和师资博后,北京斯博特科技发展有限公司,2021-11-18,723,1
清华大学材料课题组招聘热电/热障/结构陶瓷博士后,北京斯博特科技发展有限公司,2021-11-18,711,1
杭州谱育科技发展有限公司-开发类岗位,杭州谱育科技发展有限公司,2021-11-18,740,1
启明信息技术股份有限公司2022年校园招聘简章,启明信息技术股份有限公司,2021-11-18,736,4
重庆海联职业技术学院2021年高层次人才引进,广州高才信息科技有限公司,2021-11-18,712,1
九江学院2022年高层次人才招聘  ,北京海天创高网络技术有限公司,2021-11-18,712,1
中国电器科学研究院股份有限公司,中国电器科学研究院股份有限公司,2021-11-18,708,3
重庆文理学院面向海内外公开招聘二级学院院长公告,北京磐石活水信息科技有限公司,2021-11-18,703,1
北京航空航天大学云南创新研究院,北京航空航天大学云南创新研究院,2021-11-17,751,2
远东控股集团有限公司,远东控股集团有限公司,2021-11-17,758,1
龙盈智达（北京）科技有限公司,龙盈智达（北京）科技有限公司,2021-11-17,769,7
锐方（上海）私募基金管理有限公司,锐方（上海）私募基金管理有限公司,2021-11-17,752,1
上海烟草机械有限责任公司高层次人才招聘简章,广州高才信息科技有限公司,2021-11-17,753,1
北京市正泽学校2021年教师招聘公告,广州高才信息科技有限公司,2021-11-17,773,1
香港科技大学工学院理学硕士（MSc）综合场线上招生宣讲会,南京途善久文化传播有限公司,2021-11-17,715,1
天正地产集团有限公司,天正地产集团有限公司,2021-11-17,667,1
中国电建集团青海省电力设计院有限公司,中国电建集团青海省电力设计院有限公司,2021-11-17,673,3
南京理工大学新能源学院教师招聘,南京理工大学江阴校区,2021-11-16,705,1
中铁投资集团有限公司,中铁投资集团有限公司,2021-11-16,811,5
厦门工学院2021-2022年教师招聘启事,北京斯博特科技发展有限公司,2021-11-16,693,1
嘉应学院2021-2022年人才招聘启事,北京斯博特科技发展有限公司,2021-11-16,694,1
浙江大学王绪化团队招聘博士后和科研助理,北京邮电大学就业指导中心,2021-11-16,690,1
中国科学院长春应用化学研究所,中国科学院长春应用化学研究所,2021-11-16,698,1
东北农业大学2021年下半年人才公开招聘公告,北京君林浩海科技咨询有限公司,2021-11-16,695,1
南京工业大学电控学院分论坛诚邀海内外英才参加,北京君林浩海科技咨询有限公司,2021-11-16,693,1
中国船舶工业系统工程研究院,中国船舶工业系统工程研究院,2021-11-16,785,1
深圳九算优化科技有限公司,深圳九算优化科技有限公司,2021-11-16,704,5
红谷集群科技有限公司,红谷集群科技有限公司,2021-11-16,741,1
红谷集群科技有限公司,红谷集群科技有限公司,2021-11-16,709,1
北京胜信网络科技有限公司,北京胜信网络科技有限公司,2021-11-16,711,2
商业航天明星企业【零壹空间】空中宣讲来啦！！,重庆零壹空间科技集团有限公司,2021-11-16,677,1
梦想启航 “职”通未来-内蒙古大学2021-2022年高薪诚聘海内外人才,北京神州硕博信息技术有限公司,2021-11-16,709,1
广聚英才 共谋发展 南京工业职业技术大学2021年下半年海内外优秀人才招聘公告,广州高才信息科技有限公司,2021-11-16,705,1
中电国营第七二二厂秋季招聘公告,桂林长海发展有限责任公司,2021-11-15,744,1
筑巢引才 振兴三晋-晋中学院2021年人才引进公告,北京神州之窗网络技术服务有限公司,2021-11-15,699,1
新拓尼克（北京）科技研发中心有限公司,新拓尼克（北京）科技研发中心有限公司,2021-11-15,715,7
中车株洲电力机车研究所有限公司 2022届校园招聘公告,中车株洲电力机车研究所有限公司,2021-11-15,696,1
河北工大科雅能源科技股份有限公司,河北工大科雅能源科技股份有限公司,2021-11-15,725,4
电子工业出版社有限公司,电子工业出版社有限公司,2021-11-15,704,5
山东电力设备有限公司,山东电力设备有限公司,2021-11-15,686,1
攀枝花学院2021年高层次人才招聘简章,北京磐石活水信息科技有限公司,2021-11-14,680,1
东软集团,东软集团（北京）有限公司,2021-11-12,697,5
邯郸制药股份有限公司,邯郸制药股份有限公司,2021-11-12,691,1
西比爱斯汽车技术（上海）有限公司,西比爱斯汽车技术（上海）有限公司,2021-11-12,693,2
嘉实基金2022校园招聘,嘉实基金管理有限公司,2021-11-12,694,1
中资网络信息安全科技有限公司2022校招持续中【地点：北京】,中资网络信息安全科技有限公司,2021-11-12,733,1
南京理工大学网络空间安全学院教师招聘,南京理工大学江阴校区,2021-11-11,692,1
【甘肃国企】金川集团面向北京邮电大学秋季招聘信息,金川集团股份有限公司,2021-11-11,645,2
荷兰帕沃英蒂格盛有限公司深圳代表处,荷兰帕沃英蒂格盛有限公司深圳代表处,2021-11-11,715,1
广东省特种设备检测研究院珠海检测院2022年招聘公告,广州高才信息科技有限公司,2021-11-11,684,1
清华大学张晨团队2021年诚聘数据科学方向优秀博士后和科研助理,广州高才信息科技有限公司,2021-11-11,711,1
浙江中控技术股份有限公司,浙江中控技术股份有限公司,2021-11-11,675,1
光大科技有限公司秋季招聘,光大科技有限公司,2021-11-10,730,1
长城物业集团股份有限公司北京物业管理分公司,长城物业集团股份有限公司北京物业管理分公司,2021-11-10,708,1
西华大学2021年人才招聘公告,北京神州硕博信息技术有限公司,2021-11-10,689,1
中国科学院海西研究院厦门稀土材料研究中心2021-2022年科研人才招聘启事,广州高才信息科技有限公司,2021-11-10,668,1
南孔圣地-衢州有礼-事业编制-衢州学院2021年下半年人才招聘公告-评聘高级职称名额充足-解决子女入学,北京神州硕博信息技术有限公司,2021-11-10,673,1
深圳小库科技有限公司,深圳小库科技有限公司,2021-11-10,689,1
深圳小库科技有限公司,深圳小库科技有限公司,2021-11-10,683,1
深圳小库科技有限公司,深圳小库科技有限公司,2021-11-10,709,1
深圳小库科技有限公司,深圳小库科技有限公司,2021-11-10,684,3
深圳小库科技有限公司,深圳小库科技有限公司,2021-11-10,691,4
深圳小库科技有限公司,深圳小库科技有限公司,2021-11-10,686,3
深圳大学智能物联网中心杨亚涛特聘教授团队2021年博士后招聘公告,广州高才信息科技有限公司,2021-11-09,760,1
政府咨询项目助理,北京菁正咨询有限公司,2021-11-09,781,1
奋斗百年路 启航新征程-山东理工大学2021年诚聘海内外高层次人才,北京神州之窗网络技术服务有限公司,2021-11-09,710,1
中国联通哈尔滨软件研究院,中国联通哈尔滨软件研究院,2021-11-09,728,1
上海视觉艺术学院2021-2022学年招聘启事,北京月生信息技术有限公司,2021-11-08,661,1
北京塔基资产管理有限公司,北京塔基资产管理有限公司,2021-11-08,750,1
2022中公教育校园招聘-公考讲师,,2021-11-08,731,1
阳光人寿保险股份有限公司,阳光人寿保险股份有限公司,2021-11-08,731,2
铁力山（北京）控制技术有限公司,铁力山（北京）控制技术有限公司,2021-11-08,759,8
江西软件职业技术大学2021年行政管理及辅导员招聘公告,北京磐石活水信息科技有限公司,2021-11-08,684,1
江西软件职业技术大学2021年专任教师招聘公告,北京磐石活水信息科技有限公司,2021-11-08,675,1
长治学院2021年公开招聘博士研究生公告,北京神州之窗网络技术服务有限公司,2021-11-08,675,1
以工报国 未来可期-厦门工学院2021年博士人才引进计划,北京神州之窗网络技术服务有限公司,2021-11-08,670,1
北京华宇信息技术有限公司博士后招聘&培养公告,北京南方国际人力资源顾问有限公司,2021-11-08,762,1
南京工业大学-电控学院分论坛诚邀海内外英才参加,北京邮电大学就业指导中心,2021-11-08,669,1
西南医科大学2021年诚聘海内外英才,北京诺美斯信息技术有限公司,2021-11-07,640,1
东北农业大学2021年下半年人才公开招聘公告,北京诺美斯信息技术有限公司,2021-11-07,653,1
岭南现代农业科学与技术广东省实验室高端人才、拔尖人才招聘公告,北京诺美斯信息技术有限公司,2021-11-07,652,1
厦门工学院2021-2022学年高层次人才（博士）引进计划,北京斯博特科技发展有限公司,2021-11-07,644,1
南亚热带作物研究所湛江站实验站2021年第六批博士研究生人员公开招聘公告,北京斯博特科技发展有限公司,2021-11-07,644,1
中国科学院微电子研究所低功耗智能芯片与系统团队招聘,北京斯博特科技发展有限公司,2021-11-07,749,1
中科南京智能技术研究院招聘简章,北京君林浩海科技咨询有限公司,2021-11-07,733,1
材料科学姑苏实验室博士后招聘公告,北京君林浩海科技咨询有限公司,2021-11-07,646,1
江苏科技大学2021年诚聘海内外优秀人才,北京君林浩海科技咨询有限公司,2021-11-07,654,1
加入我们！“船”承理想 强军报国-中国船舶第八研究院（南京）2022届校园招聘,北京神州硕博信息技术有限公司,2021-11-06,677,1
湖南拓维信息系统股份有限公司,湖南拓维信息系统股份有限公司,2021-11-05,731,6
闽南师范大学2021年招聘公告,北京君林浩海科技咨询有限公司,2021-11-05,719,1
2021年南京工业大学高层次人才招聘,北京斯博特科技发展有限公司,2021-11-05,737,1
南京工业大学马克思主义学院诚聘高层次人才,北京斯博特科技发展有限公司,2021-11-05,703,1
清华大学材料课题组招聘热电/热障/结构陶瓷博士后,北京斯博特科技发展有限公司,2021-11-05,683,1
福建工程学院马克思主义学院教学科研人员招聘启事,北京邮电大学就业指导中心,2021-11-05,700,1
江苏科技大学2021年诚聘海内外优秀人才,北京邮电大学就业指导中心,2021-11-05,718,1
2022年国防科大电子科学学院公开招聘军队文职、博士后,北京神州硕博信息技术有限公司,2021-11-05,784,1
桂林信息科技学院（原桂林电子科技大学信息科技学院）2021年专任教师招聘公告,广州高才信息科技有限公司,2021-11-05,713,1
中山大学微电子科学与技术学院2021年人才招聘公告,广州高才信息科技有限公司,2021-11-05,773,1
清华大学出版社有限公司,清华大学出版社有限公司,2021-11-05,807,10
中山大学生物医学工程学院2021年诚聘英才,广州高才信息科技有限公司,2021-11-05,741,1
东北农业大学2021年下半年人才公开招聘公告,北京诺美斯信息技术有限公司,2021-11-04,701,1
西安工业大学新能源科学与技术研究院2021招聘简章,北京邮电大学就业指导中心,2021-11-04,702,1
中国科学院微电子研究所低功耗智能芯片与系统团队招聘,北京邮电大学就业指导中心,2021-11-04,728,1
重庆邮电大学2021-2022年招聘启事,北京邮电大学就业指导中心,2021-11-04,743,1
中科南京智能技术研究院招聘简章,北京斯博特科技发展有限公司,2021-11-04,751,1
中国重型汽车集团有限公司,中国重型汽车集团有限公司,2021-11-04,746,1
南开大学化学学院陈军院士团队招收博士后和研发工程师,广州高才信息科技有限公司,2021-11-04,717,1
上海司南卫星导航技术股份有限公司,上海司南卫星导航技术股份有限公司,2021-11-04,737,1
医世界 渡未来——2022医渡科技校园招聘正式启动,医渡云（北京）技术有限公司,2021-11-04,735,1
中国科学院计算技术研究所2021年秋冬季博士人才视频双选会,广州高才信息科技有限公司,2021-11-04,778,1
数码视讯科技集团2022届校园招聘,北京数码视讯科技股份有限公司,2021-11-03,728,1
铸魂育人 职等你来-2021常州大学诚邀海内外人才共谋发展,北京南方国际人力资源顾问有限公司,2021-11-03,702,1
溪牛投资管理（北京）有限公司,溪牛投资管理（北京）有限公司,2021-11-03,705,1
北京市经济与社会发展研究所,北京市经济与社会发展研究所,2021-11-03,759,2
深圳市赛元微电子有限公司,深圳市赛元微电子有限公司,2021-11-03,699,2
深圳市赛元微电子有限公司,深圳市赛元微电子有限公司,2021-11-03,728,3
嘉庚创新实验室2021年博士后招聘公告,广州高才信息科技有限公司,2021-11-03,717,1
来浙，必有我师-浙江师范大学2021年专任教师招聘公告,北京南方国际人力资源顾问有限公司,2021-11-03,722,1
最高待遇120万，有编制，福利好！湖北汽车工业学院2021年秋冬季博士人才视频双选会,广州高才信息科技有限公司,2021-11-03,756,1
珠海格力电器股份有限公司,珠海格力电器股份有限公司,2021-11-03,707,1
不负韶华 共筑梦想-枣庄学院2021年人才招聘启事,北京南方国际人力资源顾问有限公司,2021-11-02,698,1
2022中公教育校园招聘-教招讲师,,2021-11-02,717,1
河北农业大学2021年选聘博士公告,北京君林浩海科技咨询有限公司,2021-11-02,686,1
中科南京智能技术研究院招聘简章,北京君林浩海科技咨询有限公司,2021-11-02,720,1
中国人民银行数字货币研究所,中国人民银行数字货币研究所,2021-11-02,847,1
2022天阳科技校园招聘 锐阳计划 招聘简章,天阳宏业科技股份有限公司,2021-11-02,708,7
浙江新课堂教育股份有限公司,浙江新课堂教育股份有限公司,2021-11-02,686,1
北京未磁科技有限公司,北京未磁科技有限公司,2021-11-02,712,4
锐方（上海）私募基金管理有限公司,锐方（上海）私募基金管理有限公司,2021-11-02,668,2
2022年度赴港攻读硕士,北京华夏远达教育顾问有限公司,2021-11-01,765,1
必创科技2022秋季校园招聘,北京必创科技股份有限公司,2021-11-01,707,1
第一创业证券2022届校园招聘,第一创业证券股份有限公司,2021-11-01,696,1
泰康保险集团股份有限公司,泰康保险集团股份有限公司,2021-11-01,692,6
IT 二线应用支持,沃尔沃（中国）投资有限公司,2021-11-01,708,1
